Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.25,3.02.2,3.02,adaxial,0.33016314521348544,0.21252298251803017
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.26,3.02.2,3.02,adaxial,0.4329001515732165,0.22395898626284286
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.27,3.02.2,3.02,adaxial,0.31422049699946736,0.18802724679917407
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.28,3.02.2,3.02,adaxial,0.41860001937098423,0.2734585946625205
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.29,3.02.2,3.02,adaxial,0.39458969885131107,0.24234707320913118
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.3,3.02.2,3.02,adaxial,0.47740557256622446,0.2511460604709839
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.30,3.02.2,3.02,adaxial,0.3203594472976574,0.19717631392801124
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.4,3.02.2,3.02,adaxial,0.09514615971125465,0.17210144930751242
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.5,3.02.2,3.02,adaxial,0.2629461894070068,0.1375515133291665
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.6,3.02.2,3.02,adaxial,0.3468131643632438,0.18147280025652385
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.7,3.02.2,3.02,adaxial,0.5169751810153685,0.27228111537180877
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.8,3.02.2,3.02,adaxial,0.5173684275363799,0.2519637215432342
